Well Count,Total Water (bbl),Total Oil (bbl),Total Gas (cf),State,County,Average Water Per Well (bbl),Average TD (ft),Average Lateral Length (ft),Average GL Elevation (ft),Average Oil Per Well (bbl),Average Gas Per Well (cf),Average Emissions Per Well (tons),State,County,Pollutant,Emissions (tons),Pollutant,Emissions (tons),Pollutant,Emissions (tons),,
19,3000000,7000000,32000000000,Michigan,Otsego,157895,6125,3035,1272,368421,1684210526,0,Michigan,Otsego,,,,,,,,
33,648000,262000,112000000,Michigan,Roscommon,19636,4652,4652,882,7939,3393939,0,Michigan,Roscommon,,,,,,,,
358,49000000,7000000,7000000000,Montana,Fallon,136872,13579,4353,2721,19553,19553073,0,Montana,Fallon,,,,,,,,
464,4000000,151000,23000000,Montana,Glacier,8621,6097,2693,2711,325,49569,0,Montana,Glacier,,,,,,,,
132,39000000,2000000,30000000000,Montana,Powder River,295455,4460,868,3355,15152,227272727,0,Montana,Powder River,,,,,,,,
61,9000000,741000,352000000,Montana,Sheridan,147541,9403,4361,1360,12148,5770492,0,Montana,Sheridan,,,,,,,,
87,4000000,202000,142000000,Montana,Toole,45977,3766,1718,3069,2322,1632184,0,Montana,Toole,,,,,,,,
56,10000000,1000000,327000000,Montana,Wibaux,178571,13991,4857,1966,17857,5839286,0,Montana,Wibaux,,,,,,,,
2628,1000000,4000,12000000,New York,Allegany,381,1314,1459,625,2,4566,0,New York,Allegany,,,,,,,,
532,5000000,113000,62000000,New Mexico ,Chaves,9398,3035,1007,1298,212,116541,0,New Mexico ,Chaves,,,,,,,,
672,7000000,1000000,5000000000,New Mexico ,Eddy,10417,3277,1379,2193,1488,7440476,0,New Mexico ,Eddy,,,,,,,,
2189,35000000,6000000,16000000000,New Mexico ,Lea,15989,4868,1613,2117,2741,7309274,0,New Mexico ,Lea,,,,,,,,
101,233000,23000000,8000000,New Mexico ,Roosevelt,2307,4664,181,2640,227723,79208,0,New Mexico ,Roosevelt,,,,,,,,
222,141000000,22000000,5000000,New Mexico ,San Juan,635135,2610,22205,5674,99099,22523,0,New Mexico ,San Juan,,,,,,,,
